Tout,Bottom,Mid,top,elbow,wrist
19.14,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.16,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.18,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.2,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.22,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.24,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.26,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.28,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.3,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.32,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.34,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.36,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.38,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.4,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.42,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.44,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.46,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.48,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.5,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.52,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.54,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.56,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.58,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.6,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.62,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.64,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.66,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.68,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.7,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.72,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.74,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.76,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.78,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.8,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.82,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.84,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.86,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.88,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.9,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.92,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.94,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.96,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.98,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
20,-35.25866977,18.39562757,11.52734779,18.39562757,11.52734779
20.02,-34.35259071,17.99006262,11.37844769,17.99006262,11.37844769
20.04,-32.26097171,17.02851645,11.01100353,17.02851645,11.01100353
20.06,-29.57394783,15.74360186,10.48726727,15.74360186,10.48726727
20.08,-26.68338805,14.30410256,9.85415056,14.30410256,9.85415056
20.1,-23.81774203,12.82527914,9.149714811,12.82527914,9.149714811
20.12,-21.09903579,11.38255065,8.406366303,11.38255065,8.406366303
20.14,-18.58517868,10.02172988,7.650990602,10.02172988,7.650990602
20.16,-16.29789113,8.767857419,6.905145272,8.767857419,6.905145272
20.18,-14.23918692,7.631916453,6.185337049,7.631916453,6.185337049
20.2,-12.40045435,6.615596857,5.503445594,6.615596857,5.503445594
20.22,-10.76810638,5.715012816,4.867407465,5.715012816,4.867407465
20.24,-9.325859825,4.922766607,4.281760045,4.922766607,4.281760045
20.26,-8.057179132,4.23003926,3.748529924,4.23003926,3.748529924
20.28,-6.944903832,3.626922349,3.267471878,3.626922349,3.267471878
20.3,-5.973400934,3.104030784,2.837147095,3.104030784,2.837147095
20.32,-5.127515704,2.652142529,2.454950011,2.652142529,2.454950011
20.34,-4.392897162,2.262531552,2.117505467,2.262531552,2.117505467
20.36,-3.756838144,1.927506934,1.82127898,1.927506934,1.82127898
20.38,-3.207488458,1.639995929,1.562477359,1.639995929,1.562477359
20.4,-2.734229562,1.393750363,1.337370148,1.393750363,1.337370148
20.42,-2.327227936,1.183088736,1.142221576,1.183088736,1.142221576
20.44,-1.978099532,1.003229846,0.973691738,1.003229846,0.973691738
20.46,-1.679168474,0.849869997,0.828577717,0.849869997,0.828577717
20.48,-1.423656056,0.719262873,0.703953838,0.719262873,0.703953838
20.5,-1.205608217,0.608160774,0.597180624,0.608160774,0.597180624
20.52,-1.019869799,0.51378339,0.505924868,0.51378339,0.505924868
20.54,-0.861860628,0.433687844,0.42807529,0.433687844,0.42807529
20.56,-0.727656166,0.365799354,0.361798125,0.365799354,0.361798125
20.58,-0.613758957,0.3082852,0.305438543,0.3082852,0.305438543
20.6,-0.517254031,0.259627413,0.25760554,0.259627413,0.25760554
