Time_s,BottomArm_deg,MiddleArm_deg,TopArm_deg,Bicep_deg,Wrist_deg
3.54,-1.37132713816439,-1.37132688998581,-1.37132740778463,-0,-0
3.56,-1.82715366949208,-1.82715363246349,-1.82715371084685,-0,-0
3.58,-2.33298743860824,-2.33298743317543,-2.33298744486592,-0,-0
3.6,-2.88092583400156,-2.8809258332109,-2.88092583494335,-0,-0
3.62,-3.4622848754557,-3.46228487534174,-3.46228487559645,-0,-0
3.64,-4.06789695536048,-4.06789695534425,-4.06789695538137,-0,-0
3.66,-4.68821103358879,-4.6882110335866,-4.68821103359186,-0,-0
3.68,-5.31342900726826,-5.31342900726808,-5.31342900726873,-0,-0
3.7,-5.93371242514298,-5.93371242514307,-5.93371242514306,-0,-0
3.72,-6.53926589011733,-6.53926589011742,-6.53926589011731,-0,-0
3.74,-7.12054818951756,-7.12054818951766,-7.12054818951757,-0,-0
3.76,-7.66837965017728,-7.66837965017745,-7.66837965017727,-0,-0
3.78,-8.17408916381563,-8.17408916381572,-8.17408916381563,-0,-0
3.8,-8.6298467600056,-8.62984676000573,-8.62984676000555,-0,-0
3.82,-9.02830118591339,-9.0283011859135,-9.02830118591336,-0,-0
3.84,-9.36321378993082,-9.36321378993094,-9.3632137899308,-0,-0
3.86,-9.62932058318097,-9.62932058318108,-9.62932058318093,-0,-0
3.88,-9.82237666546308,-9.82237666546317,-9.82237666546303,-0,-0
3.9,-9.93944624302986,-9.93944624302998,-9.93944624302981,-0,-0
3.92,-9.98605468439462,-9.98605468439477,-9.98605468439463,-0,-0
3.94,-9.99733366638019,-9.99733366638025,-9.99733366638015,-0,-0
3.96,-9.99953381966566,-9.99953381966574,-9.99953381966562,-0,-0
3.98,-9.99992260201899,-9.99992260201911,-9.99992260201897,-0,-0
4,-9.99998486448827,-9.99998486448836,-9.99998486448821,-0,-0
4.02,-9.98521155152296,-9.98521155152308,-9.98521155152291,-0,-0
4.04,-9.88393541657973,-9.88393541657982,-9.88393541657973,-0,-0
4.06,-9.64499666666201,-9.64499666666212,-9.64499666666196,-0,-0
4.08,-9.25761906508245,-9.25761906508258,-9.25761906508244,-0,-0
4.1,-8.72485061646863,-8.72485061646873,-8.72485061646858,-0,-0
4.12,-8.05453745339917,-8.05453745339929,-8.05453745339914,-0,-0
4.14,-7.25745062797177,-7.25745062797186,-7.25745062797177,-0,-0
4.16,-6.34577359933876,-6.34577359933883,-6.34577359933871,-0,-0
4.18,-5.3340019915671,-5.33400199156721,-5.33400199156706,-0,-0
4.2,-4.23812094747196,-4.23812094747209,-4.23812094747193,-0,-0
4.22,-3.07537441005674,-3.07537441005692,-3.07537441005672,-0,-0
4.24,-1.86418587506151,-1.86418587506155,-1.86418587506151,-0,-0
4.26,-0.623592815497423,-0.62359281549755,-0.623592815497383,-0,-0
4.28,0.626859341483587,0.626859341483438,0.62685934148357,-0,-0
4.3,1.867426620466,1.86742662046589,1.86742662046597,-0,-0
4.32,3.07853918627954,3.07853918627942,3.07853918627959,-0,-0
4.34,4.2410208339939,4.2410208339938,4.24102083399395,-0,-0
4.36,5.33677297587429,5.33677297587416,5.33677297587429,-0,-0
4.38,6.34829791763314,6.34829791763299,6.34829791763313,-0,-0
4.4,7.25967843583889,7.2596784358388,7.25967843583895,-0,-0
4.42,8.0565911991726,8.05659119917248,8.0565911991726,-0,-0
4.44,8.72640766972201,8.72640766972189,8.72640766972199,-0,-0
4.46,9.25851740442343,9.2585174044233,9.25851740442344,-0,-0
4.48,9.64489560472387,9.64489560472376,9.64489560472387,-0,-0
4.5,9.87900980457779,9.87900980457767,9.87900980457779,-0,-0
4.52,9.97209102740159,9.97209102740149,9.97209102740162,-0,-0
4.54,9.99466050006662,9.99466050006651,9.99466050006665,-0,-0
