t_ms_full,bottom_raw,mid_raw,top_raw,elbow_raw,wrist_raw,bottom_tx,mid_tx,top_tx,elbow_tx,wrist_tx
4985,28.6708321986405,6.33977905435426,-27.0946005772596,0,0,29,6,-27,0,0
4986,28.7020594551672,6.30473429266512,-27.0828250244143,0,0,29,6,-27,0,0
4986,28.7332008170871,6.26966428557919,-27.0709838980755,0,0,29,6,-27,0,0
4987,28.7641769530764,6.234545831806,-27.0590172089693,0,0,29,6,-27,0,0
4987,28.795134919546,6.19942205046089,-27.0470367120113,0,0,29,6,-27,0,0
4988,28.8258812158469,6.16423640339499,-27.0348964093254,0,0,29,6,-27,0,0
4988,28.8565390551498,6.12902490263418,-27.0226893237997,0,0,29,6,-27,0,0
4989,28.8871968944526,6.09381340187343,-27.010482238274,0,0,29,6,-27,0,0
4989,28.9178547337553,6.05860190111269,-26.9982751527484,0,0,29,6,-27,0,0
4990,28.9483027204344,6.02332924088645,-26.9859106143158,0,0,29,6,-27,0,0
4990,28.9786316253309,5.9880219287729,-26.9734570434593,0,0,29,6,-27,0,0
4991,29.008848312752,5.95268202988617,-26.9609199207035,0,0,29,6,-27,0,0
4991,29.0390009219049,5.91732353444329,-26.9483351404933,0,0,29,6,-27,0,0
4992,29.0689967843444,5.88191967485862,-26.9356342771737,0,0,29,6,-27,0,0
4992,29.0989703087056,5.84650935039992,-26.9229168707729,0,0,29,6,-27,0,0
4993,29.1287450631008,5.81104168617347,-26.9100530104976,0,0,29,6,-27,0,0
4993,29.1585165948817,5.77557309230976,-26.8971867757973,0,0,29,6,-27,0,0
4994,29.1880255738141,5.7400290767604,-26.8841284404503,0,0,29,6,-27,0,0
4994,29.2174969408603,5.70447425671251,-26.8710425858144,0,0,29,6,-27,0,0
4995,29.2469683079065,5.66891943666455,-26.8579567311785,0,0,29,6,-27,0,0
4995,29.2764200272966,5.63335899367237,-26.8448565954778,0,0,29,6,-27,0,0
4996,29.3056217321991,5.59772699926794,-26.8315747346347,0,0,29,6,-27,0,0
4996,29.3347335504202,5.56206936312201,-26.8182279297965,0,0,29,6,-27,0,0
